1,110,50
1,111,6
1,128,3
1,174,100
1,172,1
2,110,50
2,111,6
2,128,3
2,174,100
2,172,1
3,110,50
3,111,6
3,128,3
3,174,100
3,172,1
4,110,50
4,111,6
4,128,3
4,174,100
4,172,1
5,110,50
5,111,6
5,128,3
5,174,100
5,172,1
6,110,50
6,111,6
6,128,3
6,174,100
6,172,1
7,110,50
7,111,6
7,128,3
7,174,100
7,172,1
8,110,50
8,111,6
8,128,3
8,174,100
8,172,1
9,110,50
9,111,6
9,128,3
9,174,100
9,172,1
10,110,50
10,111,6
10,128,3
10,174,100
10,172,1
11,110,70
11,111,6
11,128,3
11,174,100
11,172,1
12,110,50
12,111,6
12,128,3
12,174,100
12,172,1
